run_id,collector,aws_account,technique_id,tactic,rep_index,start_ts_utc,end_ts_utc,warmup_status,detonate_status,revert_status,cleanup_status,expected_events,notes
93760f76-0a86-4b22-a59a-c834f43796b1,nandan,268769775703,aws.persistence.iam-create-user-login-profile,persistence,2,2026-07-15T07:58:21.936567+00:00,2026-07-15T08:01:14.323211+00:00,ok,ok,ok,ok,CreateLoginProfile,
24854a09-a6cf-4b75-82a3-e231116014a3,nandan,268769775703,aws.persistence.iam-backdoor-user,persistence,2,2026-07-15T08:01:14.324469+00:00,2026-07-15T08:03:55.464071+00:00,ok,ok,ok,ok,CreateAccessKey,
4a536100-bd61-44c1-8429-8a7cea84415e,nandan,268769775703,aws.defense-evasion.cloudtrail-event-selectors,defense-evasion,1,2026-07-15T08:03:55.465001+00:00,2026-07-15T08:07:21.681202+00:00,ok,ok,ok,ok,PutEventSelectors,
e32158ce-ddf2-4b06-9aa2-fe8a4516afc2,nandan,268769775703,aws.persistence.iam-create-user-login-profile,persistence,3,2026-07-15T08:07:21.689148+00:00,2026-07-15T08:10:06.675016+00:00,ok,ok,ok,ok,CreateLoginProfile,
e0391bfb-c7e5-480e-a670-f6ce97b41ed0,nandan,268769775703,aws.privilege-escalation.iam-update-user-login-profile,privilege-escalation,2,2026-07-15T08:10:06.675976+00:00,2026-07-15T08:12:24.348614+00:00,ok,ok,ok,ok,UpdateLoginProfile,
7f21ae6a-e22e-44ef-8189-2a6983b3838d,nandan,268769775703,aws.credential-access.ec2-get-password-data,credential-access,2,2026-07-15T08:12:24.351106+00:00,2026-07-15T08:16:37.076150+00:00,ok,ok,ok,ok,AssumeRole;GetPasswordData,
35961bf9-8787-4fba-8118-8acc9782c1d6,nandan,268769775703,aws.defense-evasion.cloudtrail-stop,defense-evasion,3,2026-07-15T08:16:37.077091+00:00,2026-07-15T08:20:07.291033+00:00,ok,ok,ok,ok,StopLogging,
43235bb8-1975-4c2e-8ba8-d03f0cf7dad8,nandan,268769775703,aws.credential-access.ssm-retrieve-securestring-parameters,credential-access,2,2026-07-15T08:20:07.292419+00:00,2026-07-15T08:24:23.521665+00:00,ok,ok,ok,ok,DescribeParameters;GetParameters,
283b3087-4a16-4128-9e88-9308537b5c53,nandan,268769775703,aws.credential-access.secretsmanager-retrieve-secrets,credential-access,1,2026-07-15T08:24:23.529908+00:00,2026-07-15T08:28:31.030342+00:00,ok,ok,ok,ok,ListSecrets;GetSecretValue,
181c4411-58aa-4d04-9d91-832dfbb781f2,nandan,268769775703,aws.credential-access.secretsmanager-retrieve-secrets,credential-access,2,2026-07-15T08:28:31.032635+00:00,2026-07-15T08:32:02.237004+00:00,ok,ok,ok,ok,ListSecrets;GetSecretValue,
a15c5c13-7070-4b9d-bd7e-e2ed2ed76de9,nandan,268769775703,aws.persistence.iam-create-user-login-profile,persistence,1,2026-07-15T08:32:02.239643+00:00,2026-07-15T08:36:16.748135+00:00,ok,ok,ok,ok,CreateLoginProfile,
7275ad68-e2ce-4b3f-ac0d-99ccc7f860fa,nandan,268769775703,aws.persistence.iam-create-admin-user,persistence,3,2026-07-15T08:36:16.749931+00:00,2026-07-15T08:38:15.066281+00:00,ok,ok,ok,ok,CreateUser;AttachUserPolicy,
778ddb91-5863-47f6-8aa7-fcf4b23936a9,nandan,268769775703,aws.persistence.iam-create-backdoor-role,persistence,1,2026-07-15T08:38:15.070569+00:00,2026-07-15T08:40:07.324736+00:00,ok,ok,ok,ok,CreateRole;AttachRolePolicy,
9173780e-b866-4563-a7b0-6fba66bd269c,nandan,268769775703,aws.credential-access.secretsmanager-retrieve-secrets,credential-access,3,2026-07-15T08:40:07.326333+00:00,2026-07-15T08:43:22.116181+00:00,ok,ok,ok,ok,ListSecrets;GetSecretValue,
5b6e0c99-1a15-49d6-b537-2f5627fca010,nandan,268769775703,aws.defense-evasion.cloudtrail-event-selectors,defense-evasion,2,2026-07-15T08:43:22.118272+00:00,2026-07-15T08:47:09.152393+00:00,ok,ok,ok,ok,PutEventSelectors,
